,Name,ID
0,Horna L.,465
1,Martin A.,2
2,Vahaly B.,510
3,Nieminen J.,4
4,Karlovic I.,36
5,Elsner D.,673
6,Hrbaty D.,7
7,Clement A.,8
8,Burgsmuller L.,462
9,Ginepri R.,212
10,Canas G.,455
11,Rusedski G.,12
12,Reid T.,13
13,Llodra M.,9
14,Arthurs W.,5
15,Dent T.,1
16,Sanguinetti D.,6
17,Sluiter R.,11
18,Saulnier C.,10
19,Berdych T.,30
20,Dupuis A.,178
21,Mayer F.,19
22,Kiefer N.,20
23,Starace P.,307
24,Kohlschreiber P.,31
25,Kimmich M.,859
26,Calleri A.,25
27,de Chaunac S.,572
28,Sargsian S.,292
29,Enqvist T.,16
30,Rochus O.,18
31,Johansson J.,24
32,Delic A.,29
33,Lisnard J.R.,26
34,Benneteau J.,22
35,Melzer J.,17
36,Hewitt L.,28
37,Chela J.I.,27
38,Guccione C.,43
39,Luczak P.,41
40,Ancic M.,33
41,Pashanski B.,467
42,Spadea V.,15
43,Blake J.,37
44,Mathieu P.H.,44
45,Serra F.,38
46,Lorenzi P.,322
47,Carlsen K.,40
48,Hernych J.,359
49,Junaid R.,860
50,Malisse X.,21
51,Seppi A.,34
52,Hajek J.,208
53,Becker B.,53
54,Stepanek R.,23
55,Goldstein P.,46
56,del Potro J.M.,48
57,Korolev E.,311
58,Simon G.,82
59,Jones A.,42
60,Gasquet R.,47
61,Kunitsyn I.,49
62,Djokovic N.,45
63,Darcis S.,227
64,Zverev M.,54
65,Klec I.,861
66,Tsonga J.W.,55
67,Falla A.,61
68,Sela D.,215
69,Dancevic F.,57
70,Golubev A.,477
71,Sirianni J.,51
72,Russell M.,52
73,Acasuso J.,56
74,Gicquel M.,60
75,Bellucci T.,63
76,Millman J.,88
77,Dolgopolov O.,65
78,Baghdatis M.,66
79,Ball C.,67
80,Querrey S.,50
81,Monfils G.,69
82,Roddick A.,64
83,Ebden M.,68
84,Levy H.,62
85,Odesnik W.,59
86,Lopez F.,70
87,de Bakker T.,210
88,Kubot L.,73
89,Tomic B.,80
90,Giraldo S.,74
91,Matosevic M.,91
92,Kamke T.,104
93,Verdasco F.,127
94,Mannarino A.,371
95,Soderling R.,77
96,Berankis R.,75
97,Istomin D.,71
98,Berrer M.,72
99,Anderson K.,78
100,Mahut N.,93
101,Muller G.,81
102,Harrison R.,118
103,Stebe C.M.,348
104,Mitchell B.,862
105,Andreev I.,87
106,Kukushkin M.,99
107,Duckworth J.,79
108,Petzschner P.,85
109,Murray A.,39
110,Kudla D.,103
111,Dimitrov G.,89
112,Nishikori K.,83
113,Raonic M.,102
114,Cilic M.,92
115,Tursunov D.,308
116,Sijsling I.,375
117,Kuznetsov Al.,577
118,Chardy J.,94
119,Copil M.,95
120,Kokkinakis T.,98
121,Groth S.,96
122,Federer R.,97
123,Berlocq C.,373
124,Klizan M.,101
125,Johnson S.,100
126,Thiem D.,107
127,Anderson O.,863
128,Nishioka Y.,158
129,Chung H.,105
130,Pouille L.,109
131,Troicki V.,106
132,Ymer E.,239
133,Escobedo E.,497
134,Herbert P.H.,133
135,Schwartzman D.,114
136,de Minaur A.,117
